candidate_name,architecture,objective,history_depth,input_size,seed,parameter_count,best_epoch,final_epoch,best_validation_objective,termination_reason,training_duration_s,validation_composite_score,train_one_step_sample_count,train_rollout20_window_count,train_state_speed_rmse,train_state_speed_mae,train_state_speed_p95_abs,train_state_speed_max_abs,train_state_yaw_rate_rmse,train_state_yaw_rate_mae,train_state_yaw_rate_p95_abs,train_state_yaw_rate_max_abs,train_pose_xy_rmse,train_pose_xy_mae,train_pose_xy_p95_abs,train_pose_xy_max_abs,train_pose_yaw_rmse,train_pose_yaw_mae,train_pose_yaw_p95_abs,train_pose_yaw_max_abs,train_rollout20_xy_rmse,train_rollout20_xy_mae,train_rollout20_xy_p95_abs,train_rollout20_xy_max_abs,train_rollout20_yaw_rmse,train_rollout20_yaw_mae,train_rollout20_yaw_p95_abs,train_rollout20_yaw_max_abs,train_rollout20_trajectory_xy_rmse,train_rollout20_trajectory_xy_mae,train_rollout20_trajectory_xy_p95_abs,train_rollout20_trajectory_xy_max_abs,train_rollout20_trajectory_yaw_rmse,train_rollout20_trajectory_yaw_mae,train_rollout20_trajectory_yaw_p95_abs,train_rollout20_trajectory_yaw_max_abs,validation_one_step_sample_count,validation_rollout20_window_count,validation_state_speed_rmse,validation_state_speed_mae,validation_state_speed_p95_abs,validation_state_speed_max_abs,validation_state_yaw_rate_rmse,validation_state_yaw_rate_mae,validation_state_yaw_rate_p95_abs,validation_state_yaw_rate_max_abs,validation_pose_xy_rmse,validation_pose_xy_mae,validation_pose_xy_p95_abs,validation_pose_xy_max_abs,validation_pose_yaw_rmse,validation_pose_yaw_mae,validation_pose_yaw_p95_abs,validation_pose_yaw_max_abs,validation_rollout20_xy_rmse,validation_rollout20_xy_mae,validation_rollout20_xy_p95_abs,validation_rollout20_xy_max_abs,validation_rollout20_yaw_rmse,validation_rollout20_yaw_mae,validation_rollout20_yaw_p95_abs,validation_rollout20_yaw_max_abs,validation_rollout20_trajectory_xy_rmse,validation_rollout20_trajectory_xy_mae,validation_rollout20_trajectory_xy_p95_abs,validation_rollout20_trajectory_xy_max_abs,validation_rollout20_trajectory_yaw_rmse,validation_rollout20_trajectory_yaw_mae,validation_rollout20_trajectory_yaw_p95_abs,validation_rollout20_trajectory_yaw_max_abs
linear_h0_state_one_step,linear,state_one_step,0,4,-1,10,0,0,0.0,closed_form_ridge,0.0,0.12557154798486012,3925,3811,0.003682265290990472,0.0029332733247429132,0.007177352905273435,0.017194747924804688,0.01920362375676632,0.011422860436141491,0.047094970941543544,0.09333109855651855,0.00024832587223500013,0.0002023657289100811,0.0004595942329615354,0.0013407127698883414,0.0010323921451345086,0.0006111447000876069,0.0024766921997070312,0.004885673522949219,0.27321285009384155,0.18606595695018768,0.632688969373703,1.0500184297561646,0.08537829667329788,0.05567855015397072,0.17986953258514404,0.3747527599334717,0.13096177577972412,0.06609393656253815,0.31172235161066075,1.0500184297561646,0.05313524603843689,0.029481230303645134,0.12891416549682622,0.3747527599334717,1591,1534,0.0028864797204732895,0.0024544147308915854,0.005395412445068359,0.017009735107421875,0.01747056096792221,0.010963549837470055,0.042447734624147415,0.047731250524520874,0.00021364123676903546,0.00016669073374941945,0.00043502591142896563,0.0009155310108326375,0.0009024238679558039,0.0005604189937002957,0.002230048179626465,0.002737760543823242,0.21848678588867188,0.13819321990013123,0.5986491233110423,0.762995183467865,0.10985520482063293,0.06881922483444214,0.25935013294219966,0.3650944232940674,0.10647785663604736,0.048761337995529175,0.22162728831171988,0.762995183467865,0.06362711638212204,0.03378237411379814,0.14692240953445432,0.3650944232940674
mlp_h0_state_one_step,mlp,state_one_step,0,4,17,2498,147,150,0.02905970233608749,max_epochs,8.520143044999713,0.036456900754064346,3925,3811,0.0031446036882698536,0.0022849361412227154,0.007595467567443847,0.016153573989868164,0.0032673811074346304,0.002012216951698065,0.007066908478736877,0.026534944772720337,0.00019911957497242838,0.00015325039566960186,0.00047302543534897266,0.0007647732272744179,0.00022291947971098125,0.00013113234308548272,0.0005379676818847654,0.002013683319091797,0.042784638702869415,0.03292752057313919,0.10059962794184685,0.11754110455513,0.004362035542726517,0.003215646604076028,0.009187102317810059,0.017428159713745117,0.021644989028573036,0.013093764893710613,0.0483801878988743,0.11754110455513,0.002984347054734826,0.0019370249938219786,0.006917715072631836,0.017428159713745117,1591,1534,0.003461026819422841,0.002416847040876746,0.006738781929016113,0.03406238555908203,0.004946667701005936,0.002825596136972308,0.009940588846802711,0.02200726978480816,0.0002344466047361493,0.00017339919577352703,0.00044375285506248474,0.0019035391742363572,0.00026648695347830653,0.0001557505747769028,0.0005992650985717773,0.0011017322540283203,0.05032849311828613,0.03716377168893814,0.10084293410181999,0.2745973467826843,0.03200388327240944,0.01135737169533968,0.07893394231796264,0.17756032943725586,0.025466496124863625,0.014592912048101425,0.05485381633043288,0.2745973467826843,0.017698081210255623,0.005524315405637026,0.024912655353546087,0.17756032943725586
mlp_h0_state_one_step,mlp,state_one_step,0,4,43,2498,107,127,0.01768247741652099,early_stopping,6.720511342000464,0.02115133892735807,3925,3811,0.003257953329011798,0.0024412020575255156,0.007545772194862365,0.01634073257446289,0.00360450753942132,0.0020023356191813946,0.008091957867145536,0.03458714485168457,0.00019886116206180304,0.0001516261836513877,0.00047302249004133046,0.0009904447942972183,0.00023511331528425217,0.0001291896478505805,0.0005707263946533202,0.0020647048950195312,0.04440755024552345,0.035056646913290024,0.0970708504319191,0.11918976157903671,0.004268263466656208,0.0028751275967806578,0.009327292442321777,0.025121450424194336,0.02252974361181259,0.013971765525639057,0.05176339223980907,0.11918976157903671,0.0031227406580001116,0.0018356583314016461,0.007458269596099857,0.025121450424194336,1591,1534,0.003254219423979521,0.002370529342442751,0.005759596824645996,0.03406047821044922,0.003585091093555093,0.00230888812802732,0.008295197039842606,0.011938521638512611,0.00021831387130077928,0.00015713696484453976,0.00039449051837436855,0.0019047518726438284,0.00020713314006570727,0.00012783835700247437,0.0004973411560058594,0.0007953643798828125,0.045897338539361954,0.03560053929686546,0.07690109834074971,0.26350006461143494,0.01572519727051258,0.006193947046995163,0.02061040401458718,0.08970499038696289,0.023415207862854004,0.014064634218811989,0.051109456457197666,0.26350006461143494,0.008848100900650024,0.003270905464887619,0.008588516712188719,0.08970499038696289
mlp_h0_state_one_step,mlp,state_one_step,0,4,89,2498,147,150,0.024597515348558117,max_epochs,8.141022691999751,0.03120856727434365,3925,3811,0.00326928379945457,0.0024451250210404396,0.007713365554809566,0.016241788864135742,0.003269244683906436,0.0018239198252558708,0.007914617657661431,0.026286393404006958,0.00020744225184898823,0.00016391841927543283,0.0004806519718840718,0.0009506501955911517,0.00022722466383129358,0.00012631611025426537,0.0005613327026367186,0.0020012855529785156,0.044809818267822266,0.035589367151260376,0.09620467573404312,0.11775364726781845,0.004231696482747793,0.0027325786650180817,0.010355591773986816,0.017483949661254883,0.022693363949656487,0.014138707891106606,0.05110699404031042,0.11775364726781845,0.0029926795978099108,0.001717488863505423,0.007568418979644779,0.017483949661254883,1591,1534,0.0033619480673223734,0.002388313412666321,0.005985736846923828,0.03510713577270508,0.004471516236662865,0.0027059505227953196,0.011167170479893684,0.02042054757475853,0.0002312495926162228,0.00017418796778656542,0.000404954917030409,0.0019570677541196346,0.00024795072386041284,0.00015185690426733345,0.0006096363067626953,0.0011298656463623047,0.0488695427775383,0.037413932383060455,0.08087873719632624,0.2752728760242462,0.0264060590416193,0.009926262311637402,0.07306272983551025,0.13931965827941895,0.02478095330297947,0.014606783166527748,0.055946901068091394,0.2752728760242462,0.014558922499418259,0.004893090575933456,0.022599279880523678,0.13931965827941895
mlp_h0_pose_one_step,mlp,pose_one_step,0,4,17,2498,146,150,0.00019797257798831566,max_epochs,10.738373660000434,0.053783030052949175,3925,3811,0.029849452897906303,0.01989133097231388,0.05940142869949341,0.1518568992614746,0.004179253708571196,0.0024111331440508366,0.008737574517726896,0.03733348846435547,0.00150053680408746,0.0009949763771146536,0.0030485589057207105,0.007611552719026804,0.00023593430523760617,0.0001329257938778028,0.0005447864532470703,0.002048969268798828,0.564046323299408,0.3909762501716614,1.1288412809371948,2.2245633602142334,0.018404345959424973,0.007914962247014046,0.03658449649810791,0.18668556213378906,0.2710079550743103,0.14198176562786102,0.6782471507787707,2.2245633602142334,0.008936276659369469,0.0035301637835800648,0.012784302234649662,0.18668556213378906,1591,1534,0.03128238394856453,0.021518148481845856,0.06235438585281372,0.1708507537841797,0.00484757823869586,0.003120370442047715,0.009818380698561668,0.01769108511507511,0.0015712255844846368,0.001067722332663834,0.0031570728169754148,0.008743288926780224,0.00025422521866858006,0.00016214245988521725,0.0005582571029663086,0.0008859634399414062,0.5990806818008423,0.44074681401252747,1.1959222197532653,2.54703950881958,0.030094292014837265,0.014671861194074154,0.0669787049293517,0.150054931640625,0.2875024676322937,0.15890556573867798,0.6755396693944928,2.54703950881958,0.016241757199168205,0.006449469830840826,0.0303391695022583,0.150054931640625
mlp_h0_pose_one_step,mlp,pose_one_step,0,4,43,2498,143,150,0.00011734041460122108,max_epochs,10.844730545999482,0.041948958271702835,3925,3811,0.029848812147974968,0.019887447357177734,0.05938905477523804,0.15184450149536133,0.004229566548019648,0.0023797766771167517,0.008981597423553467,0.041137948632240295,0.001500521320849657,0.000995016423985362,0.0030509014613926398,0.0076102763414382935,0.00024276516342069954,0.00013425784709397703,0.0005638599395751953,0.002285003662109375,0.5640125870704651,0.3909129500389099,1.1288352012634277,2.223515748977661,0.019059091806411743,0.008125487715005875,0.03786790370941162,0.19339299201965332,0.2709944248199463,0.14197809994220734,0.6781781166791917,2.223515748977661,0.009241151623427868,0.003563657635822892,0.013342428207397464,0.19339299201965332,1591,1534,0.03128175437450409,0.0215141661465168,0.06235438585281372,0.17086267471313477,0.0034122506622225046,0.002325427485629916,0.007708920165896416,0.016245819628238678,0.001571255037561059,0.0010679508559405804,0.0031583374366164207,0.008743418380618095,0.0001904928358271718,0.0001248294283868745,0.0004404783248901367,0.0009839534759521484,0.599091649055481,0.44054701924324036,1.19621884226799,2.5477089881896973,0.018263481557369232,0.010684427805244923,0.04942121505737304,0.06353521347045898,0.28750091791152954,0.15883567929267883,0.6752314209938044,2.5477089881896973,0.009007468819618225,0.0044565326534211636,0.01977581977844238,0.06353521347045898
mlp_h0_pose_one_step,mlp,pose_one_step,0,4,89,2498,149,150,0.00017122201766207838,max_epochs,11.219267921998835,0.05169712122454304,3925,3811,0.02984599769115448,0.019870243966579437,0.05942691564559936,0.15178942680358887,0.004071599338203669,0.0022906577214598656,0.009107662737369534,0.03962652385234833,0.001500615500845015,0.0009951741667464375,0.003052462870255112,0.007607223000377417,0.00024066427431534976,0.0001343038893537596,0.0005790233612060542,0.0022094249725341797,0.5639930963516235,0.3905661702156067,1.1297014951705933,2.2235445976257324,0.018762579187750816,0.008236539550125599,0.038799285888671875,0.17885971069335938,0.2709784209728241,0.14186184108257294,0.6777301609516145,2.2235445976257324,0.009122268296778202,0.0036186131183058023,0.013949465751647953,0.17885971069335938,1591,1534,0.03127897530794144,0.021496325731277466,0.06235438585281372,0.17091798782348633,0.004334215074777603,0.0027859914116561413,0.008441921323537827,0.01886862888932228,0.0015714031178504229,0.0010680650593712926,0.0031608722638338804,0.008747147396206856,0.00023500480165239424,0.00015356314543168992,0.0005053281784057617,0.0010478496551513672,0.5990778207778931,0.44021081924438477,1.1972886204719542,2.548473596572876,0.0285617895424366,0.015054232440888882,0.07255825996398922,0.11939430236816406,0.28748971223831177,0.15869981050491333,0.6754106819629665,2.548473596572876,0.015062778256833553,0.00644267164170742,0.034659731388092016,0.11939430236816406
mlp_h0_pose_rollout20,mlp,pose_rollout20,0,4,17,2498,81,101,0.7576284709889223,early_stopping,83.14587435800058,0.03788233641209037,3925,3811,0.0045918929390609264,0.0033905429299920797,0.00813385546207428,0.03807640075683594,0.004993472248315811,0.002448773244395852,0.010207681357860557,0.045927226543426514,0.0002658330777194351,0.0001912324078148231,0.000518798828125,0.0019359823781996965,0.00027797886286862195,0.0001423965150024742,0.000642251968383788,0.002437114715576172,0.050480879843235016,0.04001115262508392,0.10735304653644562,0.2379344403743744,0.004491706378757954,0.002761479467153549,0.009050965309143066,0.03701663017272949,0.02612680196762085,0.01642577536404133,0.0573587961494923,0.2379344403743744,0.0034140865318477154,0.0018299147486686707,0.006878209114074711,0.03746533393859863,1591,1534,0.0041436259634792805,0.002925074426457286,0.008069753646850586,0.03987455368041992,0.0071853892877697945,0.0037105903029441833,0.020098000764846802,0.029974330216646194,0.0002580782456789166,0.00017950912297237664,0.0005074818327557296,0.0021973121911287308,0.0003698637301567942,0.00019752117805182934,0.0010062456130981445,0.0015664100646972656,0.05650641396641731,0.043582264333963394,0.10356854833662504,0.30854174494743347,0.028190989047288895,0.010218149982392788,0.07623361349105826,0.15210270881652832,0.028821716085076332,0.017248772084712982,0.06295580863952636,0.30854174494743347,0.016268450766801834,0.005322460550814867,0.026483166217803902,0.15210270881652832
mlp_h0_pose_rollout20,mlp,pose_rollout20,0,4,43,2498,149,150,0.26756102991966724,max_epochs,138.80362016899926,0.023264826019054982,3925,3811,0.004222363233566284,0.0032813847064971924,0.007430458068847656,0.0353236198425293,0.004653558135032654,0.002434010384604335,0.00922593772411345,0.04772075638175011,0.0002277720341226086,0.00017278188897762448,0.0004119875258766115,0.0019076575990766287,0.00025411200476810336,0.00013565550034400076,0.000586414337158203,0.002424001693725586,0.04841626062989235,0.0392918661236763,0.09482403844594955,0.22316594421863556,0.0033270905259996653,0.002388058928772807,0.00722813606262207,0.016396045684814453,0.024808043614029884,0.015965914353728294,0.055924024060368574,0.22316594421863556,0.002511443803086877,0.001578451949171722,0.005899238586425784,0.016396045684814453,1591,1534,0.004433149937540293,0.0035296559799462557,0.0076100826263427734,0.030086994171142578,0.00417405366897583,0.0024338962975889444,0.008522450923919678,0.029245059937238693,0.00023700915335211903,0.00018342734256293625,0.0004671010538004339,0.0017058459343388677,0.00021415766968857497,0.00012130650429753587,0.00046622753143310547,0.0016338825225830078,0.05840330943465233,0.0484195314347744,0.10306622833013533,0.20945288240909576,0.01674119010567665,0.005694284103810787,0.016952323913574218,0.10202956199645996,0.029629845172166824,0.019126160070300102,0.06301193609833718,0.20945288240909576,0.009606881067156792,0.0029967003501951694,0.00833392143249511,0.10202956199645996
mlp_h0_pose_rollout20,mlp,pose_rollout20,0,4,89,2498,146,150,0.24690205910069457,max_epochs,130.91571426100018,0.02247158822325442,3925,3811,0.004577777814120054,0.0036294942256063223,0.008075046539306638,0.03516125679016113,0.004633219446986914,0.0022128585260361433,0.009653371572494492,0.04617619514465332,0.00024737391504459083,0.00018757973157335073,0.000447644497035071,0.0017810715362429619,0.0002515848900657147,0.00012777000665664673,0.000587797164916992,0.002449512481689453,0.051103755831718445,0.04211808368563652,0.09228722378611565,0.23398920893669128,0.003199601313099265,0.002117698546499014,0.0075806379318237305,0.013174295425415039,0.02619047276675701,0.017136860638856888,0.059041347540915015,0.23398920893669128,0.0023899229709059,0.0013906724052503705,0.005772125720977784,0.013338804244995117,1591,1534,0.00518202967941761,0.004182422533631325,0.008907344192266464,0.03831768035888672,0.0037366121541708708,0.002202666364610195,0.008515212684869766,0.016525015234947205,0.0002726268721744418,0.00021421835117507726,0.0005416888161562383,0.002117200056090951,0.0001941328082466498,0.00011105525481980294,0.00046813488006591797,0.0007863044738769531,0.06980745494365692,0.05759812891483307,0.12033569626510143,0.2953628897666931,0.016218414530158043,0.005464985966682434,0.021255123615264885,0.09695887565612793,0.03527846559882164,0.022701004520058632,0.07683595605194568,0.2953628897666931,0.00918111577630043,0.002796489978209138,0.00881611108779907,0.09695887565612793
