s,x,y,yaw,curvature
0.0,0.12772219539306937,-2.0034035920463618,-0.0019451707108077976,0.010251874875460443
0.16634360175453536,0.2940656754137603,-2.0035920451119416,-0.00036158450530265895,0.008775630400122353
0.3326872035090707,0.46040925436267544,-2.0035378510106967,0.0009701328652997887,0.007222976289482289
0.4990308052636061,0.6267526568421935,-2.0032839806048073,0.002036964515393702,0.005590189964168483
0.6653744070181414,0.7930957545217205,-2.002875622693682,0.0028252564784558842,0.0038733338680493304
0.8317180087726768,0.95943855464638,-2.0023602927223325,0.003320681326605346,0.00206824655543295
0.9980616105272122,1.1257811702904512,-2.0017879478180207,0.003508200259432215,0.00017053503887534457
1.1644052122817474,1.292123772580344,-2.001211108422271,0.0033720240347743236,-0.0018244310863423999
1.3307488140362829,1.4584665660965723,-2.00068498638883,0.002895662765741047,-0.0038744916581016065
1.4970924157908183,1.6248096284710984,-2.0002573578754106,0.002243258660113767,-0.003967973531511283
1.6634360175453535,1.7911529177246623,-1.9999395001663611,0.0015761352226615344,-0.004051240246300623
1.829779619299889,1.9574963803654888,-1.999733714277365,0.0008961033252217199,-0.00412296046884376
1.9961232210544244,2.123839946905548,-1.9996419819405005,0.00020518837667493628,-0.004181893193404369
2.16246682280896,2.2901835402922726,-1.9996659313168812,-0.0004943880274650425,-0.004226927344604705
2.328810424563495,2.4565270789800215,-1.9998068063270549,-0.0012002329507438958,-0.00425712017372046
2.4951540263180303,2.622870478913148,-2.0000654406393528,-0.0019098130980541583,-0.004271732341487377
2.6614976280725657,2.7892136549937137,-2.0004422372781896,-0.0026204912089435872,-0.0042702575810943276
2.827841229827101,2.9555565224294305,-2.0009371546673287,-0.0033295667984476474,-0.0042524450207882805
2.9941848315816366,3.1218989981535326,-2.0015496997222724,-0.004034319889969051,-0.004218312613882527
3.1605284333361716,3.2882409682728957,-2.002278855294655,-0.004729416342195147,-0.004104778670964185
3.326872035090707,3.4545824326813115,-2.0031215128587414,-0.005397132965633489,-0.003923568813324835
3.4932156368452425,3.6209233119650657,-2.004072737269751,-0.0060347980236263865,-0.0037434508907345483
3.659559238599778,3.787263566927297,-2.0051275442072103,-0.006642588870692467,-0.003564373530197483
3.8259028403543134,3.9536031674822203,-2.0062809781597593,-0.007220674369424529,-0.003386285998326781
3.992246442108849,4.119942092153059,-2.007528111029066,-0.007769214994226559,-0.0032091381694793705
