csv_row,waypoint_x,waypoint_y,projected_s,projected_s_wrapped,projected_x,projected_y,euclidean_error_m,signed_lateral_error_m
0.0,-0.014336,-1.999994,-0.14206947010881488,831.575939302568,-0.014346820576963158,-2.0030152661199674,0.0030212854966964473,0.0030212854966964447
1.0,-0.014375,-1.999994,-0.14210847071967692,831.5759003019572,-0.014385821625220842,-2.0030151264307423,0.0030211458121219325,0.0030211458121219277
2.0,-0.014414,-1.999994,-0.1421474713357611,831.5758613013411,-0.014424822673689969,-2.003014986722073,0.0030210061081046473,0.00302100610810464
3.0,-0.014456,-1.999993,-0.14218947532015136,831.5758192973567,-0.014466827117624575,-2.003014836232962,0.00302185562946306,0.00302185562946306
4.0,-0.014493,-1.999993,-0.14222647579924796,831.5757822968776,-0.01450382799650501,-2.0030147036514117,0.00302172305191316,0.0030217230519131587
5.0,-0.014532,-1.999993,-0.14226547646637755,831.5757432962105,-0.014542829080003537,-2.003014563883782,0.003021583289064054,0.003021583289064054
6.0,-0.014571,-1.999993,-0.1423044770775732,831.5757042955993,-0.014581830102257044,-2.0030144240969245,0.0030214435067681994,0.003021443506768199
7.0,-0.01461,-1.999993,-0.1423434772566452,831.5756652954202,-0.014620830687151032,-2.003014284292186,0.0030213037050245534,0.0030213037050245252
8.0,-0.01465,-1.999993,-0.14238347873720159,831.5756252939397,-0.014660832578599436,-2.003014140877877,0.003021160298418533,0.0030211602984185
9.0,-0.014689,-1.999993,-0.14242247883623804,831.5755862938406,-0.014699833072931746,-2.0030140010340656,0.0030210204572784583,0.003021020457278458
10.0,-0.014729,-1.999993,-0.142462479519736,831.5755462931571,-0.01473983415646555,-2.0030138575822423,0.003020877010263317,0.003020877010263317
11.0,-0.014768,-1.999993,-0.14250148032658672,831.5755072923503,-0.01477883534797959,-2.003013717696528,0.0030207371297225876,0.003020737129722582
12.0,-0.014807,-1.999993,-0.14254048076202253,831.5754682919148,-0.01481783616302577,-2.003013577792711,0.003020597229729497,0.0030205972297294974
13.0,-0.014846,-1.999993,-0.14257948165004564,831.5754292910268,-0.01485683742552918,-2.0030134378678337,0.0030204573102820776,0.003020457310282068
14.0,-0.014885,-1.999993,-0.1426184820313665,831.5753902906455,-0.014895838175942975,-2.003013297925338,0.0030203173713798134,0.0030203173713798134
15.0,-0.014924,-1.999993,-0.1426574826673459,831.5753512900095,-0.014934839176142174,-2.003013157962489,0.0030201774130215967,0.0030201774130215963
16.0,-0.014963,-1.999993,-0.1426964831200621,831.5753122895568,-0.014973839987648868,-2.00301301798086,0.0030200374352068694,0.0030200374352068625
17.0,-0.015002,-1.999993,-0.14273548356629817,831.5752732891106,-0.015012840787777818,-2.0030128779798138,0.0030198974379346388,0.003019897437934611
18.0,-0.015041,-1.999993,-0.14277448479913346,831.5752342878777,-0.015051842369229771,-2.0030127379565017,0.00301975742120259,0.0030197574212025855
19.0,-0.01508,-1.999993,-0.14281348529004845,831.5751952873868,-0.015090843203811637,-2.0030125979164106,0.0030196173850110222,0.003019617385011022
20.0,-0.015119,-1.999993,-0.14285248595933808,831.5751562867175,-0.015129844211615388,-2.003012457856235,0.003019477329357905,0.003019477329357905
21.0,-0.015158,-1.999993,-0.14289148661771378,831.5751172860591,-0.015168845203499762,-2.003012317776654,0.0030193372542426777,0.0030193372542426777
22.0,-0.015197,-1.999993,-0.14293048731087765,831.575078285366,-0.015207846224868468,-2.003012177677503,0.003019197159664558,0.0030191971596645584
23.0,-0.015236,-1.999993,-0.1429694875057521,831.5750392851711,-0.015246846743029757,-2.0030120375606946,0.0030190570456219462,0.003019057045621908
24.0,-0.015276,-1.999993,-0.14300948819357018,831.5749992844833,-0.01528684775726059,-2.003011893829192,0.003018913318691161,0.00301891331869112
25.0,-0.015315,-1.999993,-0.1430484893908215,831.574960283286,-0.015325849267520564,-2.0030117536693854,0.003018773165217014,0.0030187731652170135
26.0,-0.015354,-1.999993,-0.14308749007193455,831.5749212826049,-0.015364850256679686,-2.003011613491984,0.0030186329922764054,0.0030186329922764054
27.0,-0.015393,-1.999993,-0.14312649164787672,831.574882281029,-0.015403852135612387,-2.003011473291914,0.0030184927998665014,0.0030184927998663747
28.0,-0.015432,-1.999993,-0.143165491477248,831.5748432811996,-0.015442852262954807,-2.003011333078671,0.003018352587987769,0.003018352587987769
29.0,-0.015471,-1.999993,-0.14320449167462357,831.5748042810022,-0.015481852753327946,-2.0030111928446517,0.0030182123566379368,0.0030182123566378934
30.0,-0.01551,-1.999993,-0.14324349289961447,831.5747652797772,-0.015520854266299507,-2.0030110525874822,0.0030180721058161797,0.0030180721058161797
31.0,-0.015549,-1.999993,-0.14328249315042285,831.5747262795264,-0.015559854800137258,-2.0030109123143607,0.00301793183552187,0.0030179318355218337
32.0,-0.015588,-1.999993,-0.143321494643601,831.5746872780333,-0.015598856571286283,-2.0030107720173134,0.0030177915457533233,0.0030177915457533086
33.0,-0.015627,-1.999993,-0.14336049508551696,831.5746482775913,-0.015637857286338288,-2.0030106317045897,0.003017651236510301,0.0030176512365103015
34.0,-0.015666,-1.999993,-0.14339949579948552,831.5746092768774,-0.015676858268440872,-2.0030104913714286,0.003017510907791423,0.003017510907791423
35.0,-0.015705,-1.999993,-0.14343849700094324,831.5745702756759,-0.015715859733030586,-2.003010351017053,0.003017370559595297,0.003017370559595262
36.0,-0.015744,-1.999993,-0.1434774972960895,831.5745312753808,-0.015754860286464986,-2.003010210646477,0.003017230191920416,0.003017230191920416
37.0,-0.015783,-1.999993,-0.14351649808168077,831.5744922745952,-0.015793861325355166,-2.003010070254675,0.0030170898047679265,0.003017089804767926
38.0,-0.015822,-1.999993,-0.1435554984071814,831.5744532742697,-0.015832861899267244,-2.003009929845066,0.0030169493981347163,0.0030169493981346924
39.0,-0.015861,-1.999993,-0.14359449953508374,831.5744142731418,-0.015871863270744378,-2.0030097894131025,0.0030168089720197773,0.0030168089720197773
40.0,-0.0159,-1.999993,-0.1436335001584439,831.5743752725184,-0.01591086413274638,-2.0030096489634905,0.003016668526422721,0.003016668526422717
41.0,-0.015939,-1.999993,-0.14367250296038492,831.5743362697165,-0.015949867168488313,-2.003009508486565,0.003016528061342961,0.003016528061342375
42.0,-0.015978,-1.999993,-0.14371150117870002,831.5742972714982,-0.015988865615713544,-2.003009368006682,0.0030163875767779675,0.0030163875767778925
43.0,-0.016018,-1.999993,-0.1437515021488025,831.574257270528,-0.01602886681556725,-2.00300922389445,0.003016243469803628,0.0030162434698035863
44.0,-0.016056,-1.999993,-0.1437895034076746,831.5742192692692,-0.016066868287830494,-2.0030090869676442,0.0030161065491912443,0.0030161065491912447
45.0,-0.016095,-1.999993,-0.14382850418462567,831.5741802684922,-0.01610586927921926,-2.003008946420135,0.003015966006167297,0.0030159660061672964
