epoch,train_loss,validation_loss
1,0.9284507565741327,0.6442156361168956
2,0.722393359029369,0.5536426560312866
3,0.5235183951201712,0.40356024087065423
4,0.3444278201289997,0.3128832458915911
5,0.277726605986334,0.30536122802360477
6,0.2470461014805326,0.2922469185519493
7,0.21511131088065494,0.291297611010704
8,0.1851860266240539,0.2812993841083038
9,0.16069550528647794,0.2687358822422436
10,0.13898648207734346,0.2572855621955043
11,0.12310021936134169,0.24457994911358424
12,0.11074604049609725,0.19769278841443233
13,0.10130769548332615,0.18514377680284602
14,0.09264825222788343,0.15493778051836427
15,0.08606373753137649,0.13993342377106108
16,0.08098311328204574,0.1320854330236077
17,0.07581069636876415,0.1195488643354258
18,0.07105284136761526,0.11584258863748076
19,0.06734196336216228,0.10527580829902414
20,0.06318367445544833,0.09746686393290578
21,0.06016917783268698,0.09079154793218149
22,0.05670573007623861,0.08347880357225489
23,0.053846148216420676,0.08667546596950579
24,0.05092919894084809,0.08118885790222072
25,0.0480281691651815,0.08182962117207399
26,0.046958984295084216,0.07062022642748773
27,0.044113213113348954,0.0692745269241665
28,0.041882101295480305,0.06910201261905306
29,0.0397480752266896,0.06720487041472639
30,0.0386535356530718,0.057292176358896996
31,0.03711461226366888,0.0608592755538789
32,0.035801084220978864,0.05724095269899504
33,0.03558381282884604,0.05254712845898327
34,0.033637574382933084,0.053960528466903204
35,0.03349772576313869,0.054055890617780926
36,0.03201462909769101,0.054578106447944266
37,0.03162361891121621,0.04655404659315925
38,0.030649800293954314,0.046092715024939925
39,0.02977595339914796,0.04508224298709525
40,0.029028070371621733,0.04631520540814667
41,0.02967488289733601,0.0439753583633873
42,0.02857516973783636,0.042964606915526254
43,0.028030813624429853,0.0410706026758823
44,0.02743983193093045,0.03805183144072615
45,0.02790227035807956,0.03731232270969243
46,0.02710282952922165,0.04189091086291634
47,0.02661686124268231,0.03662456401215783
48,0.026193859809712998,0.036702099058509
49,0.026272902477319074,0.03529145725049186
50,0.02547783176230777,0.03442629901774223
51,0.02549216715108817,0.03274530395198119
52,0.02492593599969794,0.034430641111098864
53,0.024877860605906528,0.03434952380022094
54,0.02526462972401434,0.03465079342815287
55,0.024020217433571814,0.03428526659654764
56,0.024086593031693415,0.030058143575620762
57,0.023832490470284108,0.0318579581041664
58,0.023884428035776326,0.029808284199693006
59,0.023769540531430274,0.03042086598678187
60,0.0235181197077985,0.029987792621731364
61,0.023299341013856754,0.03206698475774356
62,0.023036613389375103,0.033288615704224325
63,0.023427143295289606,0.025735847741227287
64,0.022983278336513573,0.027441073004972942
65,0.022767843255524042,0.027034367145508022
66,0.023107426098197888,0.026972205943289248
67,0.02225174058299915,0.026535742190016153
68,0.022197893313636446,0.02680986861468279
69,0.022309574929487173,0.025856579036500463
70,0.021974984088995654,0.0236525331473266
71,0.02175924939999155,0.025203606476720437
72,0.02193546755535967,0.024472246932288447
73,0.021917183500281566,0.02642282493129176
74,0.021445349428779,0.026227013473144347
75,0.021755811792744953,0.02567031965586989
76,0.02159559535728708,0.024095918298485303
77,0.021556461511808594,0.02362261272880227
78,0.021076653042131927,0.02427118641923174
79,0.021164100598187963,0.02451591034192126
80,0.021008133145084807,0.022564068109986544
81,0.020477178679530028,0.02232932147164879
82,0.021132438579087805,0.023260571822959587
83,0.02070511739487481,0.021187963466716687
84,0.020527972959598916,0.023022364616765167
85,0.020743882783279297,0.02056285376323353
86,0.02045117115756129,0.020128373135675018
87,0.020304020801499772,0.021110627697054872
88,0.020282258571238276,0.021727135602506564
89,0.019896933893868877,0.022964351804075866
90,0.019920967237395087,0.02111934149218694
91,0.019720204918627526,0.02157741064693964
92,0.01962823162602771,0.02386232218450482
93,0.019656245344953173,0.020624096642613016
94,0.01971697787000875,0.02187992072410151
95,0.01936838093978964,0.021269972594472445
96,0.019419988496288374,0.019234337668965724
97,0.01951240347591555,0.019062248931695443
98,0.0191236974555216,0.024165316831407158
99,0.01918060937054028,0.021216827027217527
100,0.019206625631043486,0.023709570976134593
101,0.018895101260607408,0.020931055416346607
102,0.019097682184474482,0.01995891953432449
103,0.019029437904809692,0.02170438783686423
104,0.018529231660542593,0.022344355269187113
105,0.01830407298152234,0.018568294825697333
106,0.018608662321878848,0.019591419177573576
107,0.018397324125573135,0.01768247741652099
108,0.01843048925398831,0.020762567088185878
109,0.01808207591912549,0.019168589403325987
110,0.018178590105217732,0.01882565067554189
111,0.017871400049774888,0.021372868125119127
112,0.0180301343507258,0.01926430756674575
113,0.01780807420231734,0.020310817964522533
114,0.018188178150612078,0.019064581198155375
115,0.01796212960532896,0.01860342152202461
116,0.017664725854281027,0.020450868083621853
117,0.017643098917783824,0.019190512461755203
118,0.017711444946990652,0.0193596987152094
119,0.01782040853812626,0.018644034943299276
120,0.017451706261486764,0.019567814826529816
121,0.017326532264661257,0.019158403854524466
122,0.0168258309397538,0.01878451264980246
123,0.01703784502425771,0.018857851943076077
124,0.017734651389490267,0.02110056538781061
125,0.01729631600533701,0.01828850970409183
126,0.01755482257029433,0.022840619182341752
127,0.01719140339049564,0.022065119057165555
