elapsed_s,publish_time_s,odometry_time_s,measurement_age_at_takeover_ms,commissioned_delay_ms,command_delay_steps,state_prediction_enabled,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_reference_speed_mps,next_speed_command_mps,next_steering_command_rad,next_raw_steering_command_rad,next_desired_yaw_rad,next_yaw_compensation_rad,next_inner_yaw_error_rad,next_steering_saturated,next_speed_saturated,controller_compute_s,deadline_met
0.0,15.155,15.13,29.56666669999919,4.566666700000001,1,False,0.11649390035314666,-2.003373099056861,-0.0019445878110863843,0.00022222576852632623,-7.873449559616937e-07,-0.01122883141993794,8.00152806573487e-06,0.0001168196268306668,0.0,0.0,0.0,0.5,0.5,-0.00010708203546757388,-0.00010708203546757388,-0.0020635678504947997,-2.1604125777484153e-06,-0.00011898003940841542,False,False,0.0006339309984468855,True
0.1,15.255,15.232,27.566666700002074,4.566666700000001,1,False,0.11641331177206948,-2.0033729077118374,-0.0019447174028583908,0.0002221299315952132,1.312592222560066e-07,-0.011309422111904575,8.026712956761292e-06,0.00011753242950574722,0.5,0.5,-0.00010708203546757388,0.5,0.5,-0.00010772967780366568,-0.00010772967780366568,-0.002064417044862464,-2.167212498325549e-06,-0.00011969964200407297,False,False,0.0005149159987922758,True
0.2,15.355,15.334,25.566666700001406,4.566666700000001,1,False,0.11718489431638035,-2.0033743677828464,-0.0019445859822098184,0.02291996232606736,2.935579642079513e-06,-0.010537819230619078,8.15472949652774e-06,0.00010960324251784652,0.5,0.5,-0.00010772967780366568,0.5,0.5,-0.00010062451753371802,-0.00010062451753371802,-0.0020563910016917273,-2.20177696406249e-06,-0.0001118050194819089,False,False,0.0005191950040170923,True
0.3,15.455,15.436,23.566666700000738,4.566666700000001,1,False,0.12094662273429047,-2.003381648301242,-0.0019448429423968004,0.052580109526402186,-6.347085296895975e-06,-0.006775961447111906,8.527815250771063e-06,7.020019805451101e-05,0.5,0.5,-0.00010062451753371802,0.54166666667,0.54166666667,-6.525243735499721e-05,-6.525243735499721e-05,-0.0020173456505690195,-2.302510117708187e-06,-7.250270817221911e-05,False,False,0.0006014669997966848,True
0.4,15.555,15.538,21.56666670000007,4.566666700000001,1,False,0.12765270096828962,-2.003394659904356,-0.0019459174243740588,0.08066696052522085,-1.1721566846838441e-05,-6.951633661993877e-05,8.796921903583294e-06,-3.404544307952263e-08,0.54166666667,0.54166666667,-6.525243735499721e-05,0.7222222222266667,0.7222222222266667,-2.1070111237991245e-06,-2.1070111237991245e-06,-0.0019482585478449467,-2.3751689139674894e-06,-2.341123470887916e-06,False,False,0.0004866599992965348,True
0.5,15.655,15.64,19.566666699999402,4.566666700000001,1,False,0.13722960662981987,-2.003413267482483,-0.0019471572294260946,0.10930155732683831,-9.865186679433013e-06,0.00950743129162777,8.356010484718614e-06,-9.906391105810087e-05,0.7222222222266667,0.7222222222266667,-2.1070111237991245e-06,0.9027777777833333,0.9027777777833333,8.712700940450407e-05,8.712700940450407e-05,-0.0018503494411988679,-2.256122830874026e-06,9.680778822722673e-05,False,False,0.0006558539971592836,True
0.6,15.755,15.742,17.56666670000051,4.566666700000001,1,False,0.15007513559997976,-2.003438249044599,-0.0019479062322978115,0.14600047229589633,-2.5936945358629017e-06,0.022352983327901317,6.278256797867866e-06,-0.0002297288876638361,0.9027777777833333,0.9027777777833333,8.712700940450407e-05,1.08333333334,1.08333333334,0.0002052303824955707,0.0002052303824955707,-0.0017198724739693996,-1.695129335424324e-06,0.00022803375832841188,False,False,0.000511328995344229,True
0.7,15.855,15.844,15.566666700001619,4.566666700000001,1,False,0.1671554928257707,-2.003471482520765,-0.0019476095388629528,0.1921043069470604,1.0461109266622695e-05,0.039433356556506774,9.320103015813741e-07,-0.00039995067571805664,1.08333333334,1.08333333334,0.0002052303824955707,1.2638888888966666,1.2638888888966666,0.0003597291296429667,0.0003597291296429667,-0.0015479105059263232,-2.51642781426971e-07,0.00039969903293662966,False,False,0.0005355969988158904,True
0.8,15.955,15.946,13.566666700000951,4.566666700000001,1,False,0.18940458315607978,-2.0035147585945086,-0.0019455304106999502,0.24711111132240804,3.225100933911275e-05,0.06168248565549202,-1.0346427651320137e-05,-0.0006161578215140881,1.2638888888966666,1.2638888888966666,0.0003597291296429667,1.4444444444533333,1.4444444444533333,0.00055705622128195,0.00055705622128195,-0.0013265790537200057,2.7935354658564374e-06,0.0006189513569799445,False,False,0.0004729430002043955,True
0.9,16.055,16.048,11.56666670000206,4.566666700000001,1,False,0.21770643381775057,-2.003569719362624,-0.0019404625046928953,0.31054461248474996,6.879326719282395e-05,0.08998437400074902,-3.154017560405077e-05,-0.00088244946453727,1.4444444444533333,1.4444444444533333,0.00055705622128195,1.62500000001,1.62500000001,0.0008018687807553273,0.0008018687807553273,-0.0010494971927425317,8.515847413093709e-06,0.0008909653119503636,False,False,0.0005862670004717074,True
1.0,16.155,16.15,9.566666700003168,4.566666700000001,1,False,0.252897747374477,-2.003637807990662,-0.0019304314462537345,0.3819529312921743,0.00012864399714323965,0.12517571693299726,-6.819050912339052e-05,-0.00119989288713165,1.62500000001,1.62500000001,0.0008018687807553273,1.8055555555666667,1.8055555555666667,0.0010964738921354687,0.0010964738921354687,-0.0007121271216587693,1.8411437463315444e-05,0.0012183043245949652,False,False,0.0004742460005218163,True
1.1,16.255,16.252,7.566666700000724,4.566666700000001,1,False,0.2957703257875244,-2.0037201762436005,-0.0019124848397304032,0.4609073285731792,0.0002219231551101067,0.16804829618519077,-0.00012752749155471355,-0.001565846879390779,1.8055555555666667,1.8055555555666667,0.0010964738921354687,1.9861111111233336,1.9861111111233336,0.0014402513718994965,0.0014402513718994965,-0.0003122055376198515,3.443242271977266e-05,0.0016002793021105517,False,False,0.0005447250005090609,True
1.2,16.355,16.354,5.566666700001832,4.566666700000001,1,False,0.3470733705353297,-2.0038175356157577,-0.001882577752756989,0.5470010347168152,0.00035947784202319295,0.21935127703049284,-0.00021842587014464407,-0.0019733145670240673,1.9861111111233336,1.9861111111233336,0.0014402513718994965,2.16666666668,2.16666666668,0.0018290605967668087,0.0018290605967668087,0.00014971179920613225,5.89749849390539e-05,0.0020322895519631207,False,False,0.0005283729988150299,True
1.3,16.455,16.422,37.56666669999831,4.566666700000001,1,False,0.38631289697380145,-2.0038908428405,-0.001853416630544207,0.6092609385968011,0.0005020905253765504,0.2585907016180205,-0.00030158184613458117,-0.002262273592559077,2.16666666668,2.16666666668,0.0018290605967668087,2.3472222222366668,2.3472222222366668,0.0021093306219138724,0.0021093306219138724,0.0004902840604712066,8.142709845633692e-05,0.0023437006910154135,False,False,0.0006723069964209571,True
1.4,16.555,16.524,35.566666699999416,4.566666700000001,1,False,0.45322503359123056,-2.0040128600241887,-0.0017914949835453264,0.7064793597581573,0.0007430253017173698,0.3255025497239925,-0.00046822615659597043,-0.0027094864185614673,2.3472222222366668,2.3472222222366668,0.0021093306219138724,2.5277777777933332,2.5277777777933332,0.0025523167327581413,0.0025523167327581413,0.0010444124972970531,0.00012642106228091202,0.0028359074808423793,False,False,0.00047358399751828983,True
1.5,16.655,16.626,33.566666700000525,4.566666700000001,1,False,0.5303736486196771,-2.004147747423918,-0.001703107122464176,0.8098514808030828,0.001007120359007427,0.40265063780548727,-0.0006948995746425937,-0.0031549935759191297,2.5277777777933332,2.5277777777933332,0.0025523167327581413,2.70833333335,2.70833333335,0.0030083548149653677,0.0030083548149653677,0.001639509338608454,0.00018762288515350033,0.0033426164610726307,False,False,0.0005050170002505183,True
1.6,16.755,16.728,31.56666669999808,4.566666700000001,1,False,0.6183696091260765,-2.0042925679593573,-0.00158481221002111,0.9190419134333991,0.0013497398631034281,0.4906457659610819,-0.0009917068125269944,-0.0035745492608894665,2.70833333335,2.70833333335,0.0030083548149653677,2.8888888889066666,2.8888888889066666,0.0034580790902445802,0.0034580790902445802,0.002257497890250645,0.0002677608393822885,0.0038423101002717556,False,False,0.0004662299979827367,True
1.7,16.855,16.83,29.56666670000274,4.566666700000001,1,False,0.7177904595326252,-2.0044425095179914,-0.0014264531123382562,1.0337325646600408,0.001789149289115298,0.590065425390371,-0.0013658568794646172,-0.003930230658689927,2.8888888889066666,2.8888888889066666,0.0034580790902445802,3.0694444444633335,3.0694444444633335,0.003869110814530836,0.003869110814530836,0.0028725589038071176,0.00036878135745544664,0.004299012016145373,False,False,0.0006128690001787618,True
1.8,16.955,16.932,27.566666700000297,4.566666700000001,1,False,0.8291757686997064,-2.0045901656180836,-0.0012188667075598767,1.1533530255830504,0.002306620477255806,0.7014491929699787,-0.0018189085895195685,-0.004176942162817934,3.0694444444633335,3.0694444444633335,0.003869110814530836,3.25000000002,3.25000000002,0.004201242733789396,0.004201242733789396,0.0034491807744283414,0.0004911053191702836,0.004668047481988218,False,False,0.0004692860020441003,True
1.9,17.055,17.034,25.566666700001406,4.566666700000001,1,False,0.9529695092927921,-2.0047251440372307,-0.0009555955944304302,1.2768511900666373,0.0028702724009730817,0.8252411791225064,-0.0023434005623156336,-0.004262648037182298,3.25000000002,3.25000000002,0.004201242733789396,3.430555555576667,3.430555555576667,0.004405829570106767,0.004405829570106767,0.0039397705945770885,0.0006327181518252211,0.004895366189007519,False,False,0.0005739030020777136,True
2.0,17.155,17.136,23.566666700002514,4.566666700000001,1,False,1.089550571933902,-2.0048340846231922,-0.0006339796164542354,1.4039358605488286,0.0034380154224620935,0.9618205881899967,-0.002919218652519302,-0.004128346514745426,3.430555555576667,3.430555555576667,0.004405829570106767,3.6111111111333334,3.6111111111333334,0.004424881995833073,0.004424881995833073,0.004282555934471402,0.0007881890361802116,0.004916535550925637,False,False,0.0005722290006815456,True
2.1,17.255,17.238,21.56666670000007,4.566666700000001,1,False,1.2392672714851825,-2.0049010585833775,-0.0002567403219406809,1.53430264538221,0.003947362186397905,1.111536288223555,-0.0035094480036743166,-0.003708127554569403,3.6111111111333334,3.6111111111333334,0.004424881995833073,3.7916666666900007,3.7916666666900007,0.004190110664005322,0.004190110664005322,0.004398938193620788,0.0009475509609920656,0.004655678515561468,False,False,0.0005457169972942211,True
2.2,17.355,17.34,19.56666670000118,4.566666700000001,1,False,1.4024570149810587,-2.004908507925684,0.00016616906868498416,1.6679070132360656,0.0043229119717767385,1.2747264821897335,-0.004055547565442747,-0.002928928909758222,3.7916666666900007,3.7916666666900007,0.004190110664005322,3.972222222246667,3.972222222246667,0.0036215340771849885,0.0036215340771849885,0.0041900958211127486,0.0010949978426695417,0.004023926752427765,False,False,0.0007104420001269318,True
2.3,17.455,17.442,17.566666699998734,4.566666700000001,1,False,1.5794336332525982,-2.0048390445486524,0.0006142547774592004,1.80446649304475,0.004441605799507785,1.4517054562531224,-0.004475806607460298,-0.0018085438311961518,3.972222222246667,3.972222222246667,0.0036215340771849885,4.152777777803333,4.152777777803333,0.002715310453689389,0.002715310453689389,0.0036312663926696327,0.0012084677840142805,0.003017011615210432,False,False,0.0006284899936872534,True
