elapsed_s,publish_time_s,odometry_time_s,commissioned_delay_ms,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_speed_command_mps,next_steering_command_rad,solver_success,solver_status,solver_iterations,solver_time_s,mpc_total_compute_s,cycle_compute_s,deadline_met,constraint_violation,fallback_reason
0.0,3.289,3.279,4.8666668,0.12629514562092992,-2.0033960473722123,-0.0019410614448219512,0.0002826024197964119,6.907392153308826e-07,-0.0014271532642869769,4.758358559407335e-06,1.8757506213301417e-05,2.0,0.0,0.0,1.1450794869073564,-0.025226803836893855,True,Solve_Succeeded,4,0.0657119870011229,0.07053298300161259,0.07089390499822912,True,9.048745661655033e-07,
0.1,3.3890000000000002,3.3810000000000002,4.8666668,0.1262203148155353,-2.0033958689810034,-0.0019410801823155149,0.00027473451852328036,7.392061402267147e-07,-0.0015019888293515775,4.790065912658906e-06,1.9507883593304414e-05,2.0,1.1450794869073564,-0.025226803836893855,1.9860367628025204,-0.036285723242941055,True,Solve_Succeeded,3,0.04487648700160207,0.05081009700006689,0.051190886999393115,True,8.396256934162238e-08,
0.2,3.489,3.483,4.8666668,0.12727171349831823,-2.0033977825701235,-0.0019472047697461164,0.03988012428689874,-0.0002328329109367386,-0.00045052220097623134,4.9321610657550025e-06,2.586144265701116e-06,2.0,1.9860367628025204,-0.036285723242941055,2.629815870720983,-0.04422768194665458,True,Solve_Succeeded,3,0.05032594600197626,0.0548704729990277,0.05526757600091514,True,3.125706533396234e-08,
0.3,3.589,3.585,4.8666668,0.13564675192787656,-2.0034142268346886,-0.002062997249981735,0.13843720629160522,-0.0025371449802539694,0.007924579414235921,4.458653245150353e-06,-0.00019879627318799544,2.0,2.629815870720983,-0.04422768194665458,3.1245063402030837,-0.04858636773442785,True,Solve_Succeeded,3,0.05129797600238817,0.05687160000161384,0.057380993999686325,True,4.317460862341673e-08,
0.4,3.689,3.6870000000000003,4.8666668,0.15631175069936265,-2.0034612039630386,-0.0025412703135484905,0.277304015353419,-0.007321202180181534,0.0285896219711511,-6.156272981329081e-06,-0.0008856504651345988,2.0,3.1245063402030837,-0.04858636773442785,3.4950854652641548,-0.048909192376420954,True,Solve_Succeeded,2,0.04016651599886245,0.04688811800224357,0.04838931300037075,True,5.663625130894467e-07,
0.5,3.79,3.789,4.8666668,0.19345213966358865,-2.003575013497801,-0.003631920808110121,0.4533295075648747,-0.013905140392729142,0.06573011541521173,-6.530003797883176e-05,-0.0023417912120642136,2.0,3.4950854652641548,-0.048909192376420954,3.7512536042669433,-0.04519403963300439,True,Solve_Succeeded,2,0.03282031400158303,0.03587713099841494,0.03616528899874538,True,9.560149507592541e-07,
0.6,3.8890000000000002,3.857,4.8666668,0.2285576592802938,-2.0037213685057114,-0.004719645391951256,0.5812983306818925,-0.017919478042512513,0.10083573855111752,-0.00017226372173776837,-0.0037637899432120376,2.0,3.7512536042669433,-0.04519403963300439,3.9267344378342677,-0.04009293374813425,True,Solve_Succeeded,2,0.03598656100075459,0.038948391997109866,0.03933858099844656,True,1.6872914637526548e-07,
0.7,3.989,3.959,4.8666668,0.2973404366531832,-2.004117914532818,-0.006795186083874512,0.7709820024225358,-0.022064929653741454,0.16961853742476765,-0.0005247322907542087,-0.0064622923878091395,2.0,3.9267344378342677,-0.04009293374813425,4.005252014635414,-0.03154944608221817,True,Solve_Succeeded,2,0.03782940800010692,0.042263250001269625,0.042741061999549856,True,4.7608617925395946e-07,
0.8,4.09,4.061,4.8666668,0.3859423409774384,-2.004826756460914,-0.009137411522097143,0.9689752200193162,-0.02327169154683473,0.25821976668931373,-0.0012373444291743812,-0.00954332845311469,2.0,4.005252014635414,-0.03154944608221817,3.9959057117210524,-0.021423165754778067,True,Solve_Succeeded,3,0.04862754399800906,0.052025773002242204,0.052424839999730466,True,2.3126991463373622e-08,
0.9,4.19,4.163,4.8666668,0.4945968576100138,-2.0059530471502036,-0.011481584305280937,1.1627272998273845,-0.021518776025795692,0.3668718552247865,-0.0024525180484256297,-0.012693020465271801,2.0,3.9959057117210524,-0.021423165754778067,3.913007951476148,-0.010933090645169417,True,Solve_Succeeded,3,0.04678556699946057,0.04990331400040304,0.05025447600201005,True,3.5130671458297205e-08,
1.0,4.289,4.265,4.8666668,0.6225359459388552,-2.007563643276603,-0.013578484702990496,1.3459315527793716,-0.017387486749192296,0.4948054858292216,-0.004271114538025968,-0.015591739082689843,2.0,3.913007951476148,-0.010933090645169417,3.7724799877354087,-0.0009919618770930908,True,Solve_Succeeded,2,0.035450110997771844,0.040299160002177814,0.04061292899859836,True,5.067436608940934e-07,
1.1,4.39,4.367,4.8666668,0.7684071946243858,-2.0096597546138586,-0.014954402950879549,1.5136600168418388,-0.008874908446069151,0.6406674460053197,-0.006715562214118708,-0.017680739281065918,2.0,3.7724799877354087,-0.0009919618770930908,3.5911606524907778,0.007280574397884543,True,Solve_Succeeded,2,0.04322430500178598,0.047729246001836145,0.048322450998966815,True,2.3313967361521248e-07,
1.2,4.49,4.469,4.8666668,0.9304975696984235,-2.012135396993286,-0.015383857529745611,1.6633915080146122,0.0008105454801907881,0.8027453465734863,-0.009679859840717774,-0.01863996035270457,2.0,3.5911606524907778,0.007280574397884543,3.3851525328352814,0.013683283989392624,True,Solve_Succeeded,2,0.03948333299922524,0.04387248200146132,0.04465174900178681,True,9.700271399668003e-08,
1.3,4.589,4.571,4.8666668,1.1070348946584159,-2.014827956032697,-0.015001269178519131,1.7962285700140876,0.008473976479784642,0.9792697685127072,-0.01297420544437681,-0.018504203537357104,2.0,3.3851525328352814,0.013683283989392624,3.1677911281716,0.018500857757338004,True,Solve_Succeeded,2,0.0354900650017953,0.03993010799968033,0.04064984199794708,True,5.714435463669782e-07,
1.4,4.6899999999999995,4.673,4.8666668,1.295828425616591,-2.017550755077601,-0.013675847824604456,1.9045491204433194,0.01722050687349293,1.1680548575970922,-0.01635203366557386,-0.01704113142015867,2.0,3.1677911281716,0.018500857757338004,2.9533749021757494,0.021062526624412655,True,Solve_Succeeded,2,0.03120253999804845,0.03595507000136422,0.03725777099680272,True,5.523845166657113e-07,
1.5,4.789,4.775,4.8666668,1.4949133483063792,-2.0200813634773036,-0.011665018275072532,1.996931989688542,0.023052794941318903,1.3671420188510395,-0.019499262875087547,-0.014419287724724379,2.0,2.9533749021757494,0.021062526624412655,2.7489876975345324,0.02203882105552629,True,Solve_Succeeded,2,0.03420932800145238,0.03776041500168503,0.038131235996843316,True,2.8986881112513135e-07,
1.6,4.889,4.877,4.8666668,1.7024350195761446,-2.022246093284452,-0.009145276040094217,2.070142609553772,0.026839596132356223,1.5746751593247348,-0.022150832164152125,-0.011079114684003386,2.0,2.7489876975345324,0.02203882105552629,2.5611796850656074,0.0213702908209294,True,Solve_Succeeded,2,0.04118582799856085,0.046049748998484574,0.04646489800143172,True,1.5078397141808772e-07,
