elapsed_s,publish_time_s,odometry_time_s,measurement_age_at_takeover_ms,commissioned_delay_ms,command_delay_steps,state_prediction_enabled,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_reference_speed_mps,next_speed_command_mps,next_steering_command_rad,next_raw_steering_command_rad,next_desired_yaw_rad,next_yaw_compensation_rad,next_inner_yaw_error_rad,next_steering_saturated,next_speed_saturated,controller_compute_s,deadline_met
0.0,14.637,14.604,37.36666680000056,4.3666668,1,False,0.1205145116169849,-1.5102308780440268,0.6961875401173969,0.0002190055660605972,4.0333328810615214e-07,-0.008209183921053305,0.49315741554954384,0.6982174676071156,0.0,0.0,0.0,0.5,0.5,-0.3,-0.7482329728249432,-0.1351824296880955,-0.13315250219837685,-0.8313699698054924,True,False,0.0006254740001168102,True
0.1,14.737,14.706,35.36666679999989,4.3666668,1,False,0.12045240339434893,-1.510282741779769,0.6961874085508444,0.00021894576678343223,-9.660149525468224e-08,-0.008271508423246855,0.4931054258254634,0.6982179841284109,0.5,0.5,-0.3,0.5,0.5,-0.3,-0.7482208041911572,-0.1351690405504416,-0.13313846497287513,-0.8313564491012858,True,False,0.0005665070057148114,True
0.2,14.837,14.808,33.36666679999922,4.3666668,1,False,0.12092435851375316,-1.5098877833228381,0.6961783339939916,0.02101069538822862,-0.00023872329423838367,-0.007797910353265625,0.49350134064811874,0.6982039865539668,0.5,0.5,-0.3,0.5,0.5,-0.3,-0.7483044136760629,-0.13527101453496718,-0.13324536197499207,-0.8314493485289588,True,False,0.0006305849965428934,True
0.3,14.937,14.91,31.366666799998555,4.3666668,1,False,0.12369369946071285,-1.5075732002286997,0.6960533218081623,0.051479998365507026,-0.0024070730593360587,-0.005018867229462655,0.4958214888596437,0.6980501672423775,0.5,0.5,-0.3,0.5,0.5,-0.3,-0.7487297723110331,-0.135868647426319,-0.1338718019921038,-0.8319219692344813,True,False,0.0006330789983621798,True
0.4,15.037,15.012,29.366666799999663,4.3666668,1,False,0.1287807367169227,-1.5033242216938962,0.6956310385500529,0.08019256651758871,-0.006126624425802026,8.624259198647685e-05,0.5000804832846856,0.6975753251475821,0.5,0.5,-0.3,0.5,0.5,-0.3,-0.7493373500710026,-0.13696601708439432,-0.1350217304868651,-0.8325970556344473,True,False,0.0005667479999829084,True
0.5,15.137,15.114,27.366666799998995,4.3666668,1,False,0.13604673112037402,-1.4972639084735946,0.6947480059972031,0.10699430023063487,-0.011384747213376154,0.007378174894109387,0.5061546416449759,0.6966177724234479,0.5,0.5,-0.3,0.5,0.5,-0.3,-0.7499515731008323,-0.13853151967038832,-0.1366617532441435,-0.8332795256675914,True,False,0.0005396449996624142,True
0.6,15.237,15.216,25.366666800000104,4.3666668,1,False,0.14533110312557995,-1.4895403470026443,0.6932616881688987,0.1313402815183749,-0.017851658088328476,0.01669668701799344,0.5138951103458188,0.6950368947998229,0.5,0.5,-0.3,0.5555555555599999,0.5555555555599999,-0.3,-0.7504097171338746,-0.1405268864242953,-0.13875167979337108,-0.833788574593194,True,False,0.000701133998518344,True
0.7,15.337,15.318,23.366666799999436,4.3666668,1,False,0.15642867560922435,-1.4803446015987207,0.6910955716033941,0.15289562382422062,-0.024510340232879402,0.027836523519863578,0.5231099199006151,0.692758727505617,0.5555555555599999,0.5555555555599999,-0.3,0.6481481481533332,0.6481481481533332,-0.3,-0.7505985652909047,-0.14290283427538897,-0.1412396783731661,-0.833998405878783,True,False,0.0006232800005818717,True
0.8,15.437,15.42,21.366666799998768,4.3666668,1,False,0.16927183131718948,-1.4697561933228647,0.6882729741362368,0.17608603013151136,-0.030690496768352907,0.040730539186858684,0.5337188490974865,0.6898077870506751,0.6481481481533332,0.6481481481533332,-0.3,0.7407407407466666,0.7407407407466666,-0.3,-0.7505206886762968,-0.1456389021707597,-0.14410408925632134,-0.8339118763069965,True,False,0.0005314989975886419,True
0.9,15.537,15.522,19.366666799999877,4.3666668,1,False,0.18417770830953817,-1.457543700451128,0.6848380450982652,0.20470391055959428,-0.03661339003814395,0.055697995757071704,0.5459531075036911,0.6862257037118988,0.7407407407466666,0.7407407407466666,-0.3,0.8333333333399999,0.8333333333399999,-0.3,-0.7502697384641058,-0.14879499763963025,-0.1474073390259966,-0.8336330427378954,True,False,0.0006282899994403124,True
