elapsed_s,publish_time_s,odometry_time_s,commissioned_delay_ms,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_speed_command_mps,next_steering_command_rad,solver_success,solver_status,solver_iterations,solver_time_s,mpc_total_compute_s,cycle_compute_s,deadline_met,constraint_violation,fallback_reason
0.0,6.938,6.931,4.5,0.12336028929142506,-2.0033891585213395,-0.00194331045536016,0.0001829643157936036,8.137187639755994e-07,-0.0043621783865020886,5.8510759847750156e-06,4.67480227210426e-05,0.5,0.0,0.0,0.3118170747947223,-0.008025069247884922,True,Solve_Succeeded,3,0.03545795299578458,0.038846678005938884,0.03918239300401183,True,2.4212667550155613e-07,
0.1,7.038,7.033,4.5,0.12327566581821359,-2.0033889611668427,-0.0019433190743705796,0.0001822887256089134,8.083568967675194e-07,-0.004446806198953485,5.87998755311633e-06,4.761360905074078e-05,0.5,0.3118170747947223,-0.008025069247884922,0.5502665749270476,-0.012381823219017962,True,Solve_Succeeded,2,0.025905162998242304,0.0291789089969825,0.029543290002038702,True,1.991144787724134e-07,
0.2,7.138,7.135,4.5,0.12399870289069881,-2.0033903094317775,-0.0019454131531615913,0.01758259905628598,-7.243660676535058e-05,-0.0037237317907556043,5.968543092227029e-06,3.80543006496916e-05,0.5,0.5502665749270476,-0.012381823219017962,0.7271253023097114,-0.01493753512800634,True,Solve_Succeeded,2,0.024587612999312114,0.02775982700404711,0.02814197399857221,True,1.1016170250238552e-08,
0.3,7.2379999999999995,7.237,4.5,0.12727357581461074,-2.0033966552778484,-0.0019665950841161665,0.04946087207103699,-0.000374032853436328,-0.00044866196477140637,6.0630823048969255e-06,-1.682325470003061e-05,0.54166666667,0.7271253023097114,-0.01493753512800634,0.8773901071125351,-0.016789609193715454,True,Solve_Succeeded,2,0.02401966899924446,0.027443120001407806,0.02776852399983909,True,2.4570604950830924e-08,
0.4,7.338,7.305,4.5,0.13149770319197773,-2.0034049931725884,-0.002003312570719544,0.07722850474797745,-0.0007114130214376799,0.003775513626057812,5.869889311209536e-06,-9.678616120759997e-05,0.7222222222266667,0.8773901071125351,-0.016789609193715454,1.0907844438285295,-0.01991957529292916,True,Solve_Succeeded,2,0.02862463199562626,0.03390588400361594,0.034609835005539935,True,6.016296643096553e-07,
0.5,7.438,7.407,4.5,0.14156022056675888,-2.0034255885896424,-0.0021044192355932968,0.12387730698902076,-0.0012950334978130017,0.013838062677879364,3.943054837343143e-06,-0.0003002848339777654,0.9027777777833333,1.0907844438285295,-0.01991957529292916,1.3435265969692982,-0.022901046254591873,True,Solve_Succeeded,2,0.023684432002482936,0.02772971500235144,0.028069428000890184,True,9.298158963888525e-07,
0.6,7.538,7.509,4.5,0.1568288634678905,-2.003458904842657,-0.0022739246433403915,0.18006966091326435,-0.0021018020423775865,0.029106729646061882,-3.0023512409516423e-06,-0.0006234764861968445,1.08333333334,1.3435265969692982,-0.022901046254591873,1.6227966608743778,-0.025444150715258042,True,Solve_Succeeded,2,0.024580728997534607,0.027683296000759583,0.028062170997145586,True,1.5601288437805394e-06,
0.7,7.638,7.611,4.5,0.17842156862898362,-2.003510748450677,-0.0025442452514748064,0.2482574956836156,-0.0032878475001072147,0.05069947792933402,-2.1524578098789273e-05,-0.00110766193160907,1.2638888888966666,1.6227966608743778,-0.025444150715258042,1.9186087902478,-0.027373327815988016,True,Solve_Succeeded,3,0.03224112300085835,0.035357676999410614,0.03574141800345387,True,6.501010744824076e-08,
0.8,7.7379999999999995,7.713,4.5,0.20764933814423547,-2.003590879400396,-0.002956281878950596,0.3298862460332115,-0.004881153724437511,0.07992731145735797,-6.382078766346076e-05,-0.0018026540166005255,1.4444444444533333,1.9186087902478,-0.027373327815988016,2.222982416991237,-0.028571964651993544,True,Solve_Succeeded,3,0.03393669700017199,0.03702617200178793,0.0377798499976052,True,6.791580072188806e-08,
0.9,7.838,7.8149999999999995,4.5,0.2459172246418032,-2.0037150285785077,-0.003548530054733745,0.4254644503225533,-0.006803611232903745,0.11819526314083806,-0.00015073400158617585,-0.0027539157762439316,1.62500000001,2.222982416991237,-0.028571964651993544,2.53005376158241,-0.02901754257035922,True,Solve_Succeeded,3,0.03365832199779106,0.03824397899734322,0.03872038300323766,True,5.853609966647795e-08,
1.0,7.938,7.917,4.5,0.29464900148497697,-2.0039071343778416,-0.004349121200686916,0.5349030982760129,-0.008928500184466046,0.16692704001470576,-0.00031487981695501823,-0.00399265518569452,1.8055555555666667,2.53005376158241,-0.02901754257035922,2.835539343994008,-0.028741208531551873,True,Solve_Succeeded,2,0.025668543996289372,0.029268345002492424,0.029896175001340453,True,2.3902593881963696e-06,
1.1,8.038,8.019,4.5,0.3552463119657433,-2.0042013952846593,-0.005371429245771024,0.657832132478207,-0.01111769632464001,0.22752414416424943,-0.0006033031292929767,-0.005529604470136588,1.9861111111233336,2.835539343994008,-0.028741208531551873,3.136143771414603,-0.027795078273015368,True,Solve_Succeeded,2,0.027894727994862478,0.03117120199749479,0.031648158001189586,True,2.1571552935029104e-06,
