elapsed_s,publish_time_s,odometry_time_s,commissioned_delay_ms,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_speed_command_mps,next_steering_command_rad,solver_success,solver_status,solver_iterations,solver_time_s,mpc_total_compute_s,cycle_compute_s,deadline_met,constraint_violation,fallback_reason
0.0,15.378,15.356,4.3,0.12005909194944608,-1.5106111958376816,0.6961872541574263,0.00022083602388802404,7.962419673063075e-07,-0.008666188359592066,0.49277617299067816,0.6982219354680907,0.5,0.0,0.0,0.08956317156839834,-0.09705657354145801,True,Maximum_CpuTime_Exceeded,8,0.07284813399746781,0.0759187590010697,0.07617681499687023,True,4.8436154230419026e-05,
0.1,15.478,15.458,4.3,0.11999713003001755,-1.5106629401765268,0.6961872450949446,0.0002208218876664689,8.113204966369427e-07,-0.008728365696544142,0.49272430266625705,0.6982225734711319,0.5,0.08956317156839834,-0.09705657354145801,0.07888391856968938,-0.1431105487092652,True,Solve_Succeeded,6,0.057421257995883934,0.0609756429985282,0.06123687500075903,True,1.3231377532180264e-06,
0.2,15.578,15.56,4.3,0.12006211873839756,-1.5106085909190896,0.6961862059153334,0.004457018374577725,-1.8997243748053657e-05,-0.008663151204431008,0.49277878406237696,0.6982208556207798,0.5,0.07888391856968938,-0.1431105487092652,0.0922386033016671,-0.20217506996510753,True,Solve_Succeeded,6,0.057812738996290136,0.060518012003740296,0.06074931500188541,True,1.2386313377355396e-06,
0.3,15.678,15.662,4.3,0.12052549802883028,-1.5102211688235796,0.6961641080554009,0.009256067614179108,-0.00041159063623985966,-0.008198160337767225,0.4931671470509628,0.6981939209224659,0.5,0.0922386033016671,-0.20217506996510753,0.11302011673885827,-0.2509139550217818,True,Solve_Succeeded,6,0.05815975900623016,0.06147831400448922,0.06173010799830081,True,1.1200565169513458e-06,
0.4,15.778,15.764,4.3,0.12136527399928276,-1.5095193335089394,0.6960859176986036,0.014317143609564133,-0.001149575671374288,-0.007355456397871297,0.49387068183550487,0.6981069746056139,0.5,0.11302011673885827,-0.2509139550217818,0.12382493325010034,-0.3000000097164952,True,Solve_Succeeded,6,0.060849487002997193,0.0648209040009533,0.06514133299788227,True,9.166350533175525e-07,
0.5,15.878,15.866,4.3,0.12263440077181154,-1.5084591903646885,0.6959138264501403,0.02024384413095611,-0.002271571510964944,-0.006081887060732445,0.49493337941961796,0.6979216746688306,0.5,0.12382493325010034,-0.3000000097164952,0.134895102385002,-0.30000000986779246,True,Solve_Succeeded,6,0.06078995399730047,0.06422503900103038,0.0644542790032574,True,6.492467925940919e-07,
0.6,15.978,15.968,4.3,0.12437950581240576,-1.5070025485664336,0.6956028393818696,0.026363369682223258,-0.003880824466348682,-0.004330638361709062,0.4963935063971706,0.6975925720842528,0.5555555555599999,0.134895102385002,-0.30000000986779246,0.16538527320645405,-0.30000000952906225,True,Solve_Succeeded,6,0.05647770100040361,0.05990786400070647,0.06031192800583085,True,3.122987448883445e-07,
0.7,16.078,16.07,4.3,0.12661620338261947,-1.5051371865357503,0.6951180070448492,0.03281475170065895,-0.005572042962344803,-0.0020860074936958715,0.49826328931139896,0.6970846007458397,0.6481481481533332,0.16538527320645405,-0.30000000952906225,0.23174038125460267,-0.3000000094211108,True,Solve_Succeeded,6,0.056647362995136064,0.05982975699589588,0.060083996002504136,True,9.865025551872644e-09,
0.8,16.178,16.172,4.3,0.12941938849462953,-1.5028016789299325,0.694463539724999,0.04092298778741295,-0.007245003659938443,0.0007271673280794082,0.5006042646879768,0.6964012579179741,0.7407407407466666,0.23174038125460267,-0.3000000094211108,0.32267131879641864,-0.3000000094406951,True,Solve_Succeeded,6,0.05794625700218603,0.061273487997823395,0.061686793000262696,True,7.005008563075628e-08,
0.9,16.278,16.274,4.3,0.13300124847069872,-1.4998214324150214,0.6936175255684821,0.052762793525522426,-0.009361514771423902,0.00432177308451083,0.5035913804540073,0.6955184709528739,0.8333333333399999,0.32267131879641864,-0.3000000094406951,0.43069430370645956,-0.3000000091182241,True,Solve_Succeeded,6,0.06327966599928914,0.06636437900306191,0.06661542000074405,True,1.5198684279649124e-07,
