time_s,speed_mps,steering_rad
0.0,0.000000000,0.000000000
0.1,0.000000000,0.000000000
0.2,0.000000000,0.000000000
0.3,0.000000000,0.000000000
0.4,0.000000000,0.000000000
0.5,0.000000000,0.000000000
0.6,0.000000000,0.000000000
0.7,0.000000000,0.000000000
0.8,0.000000000,0.000000000
0.9,0.000000000,0.000000000
1.0,0.000000000,0.000000000
1.1,0.000000000,0.000000000
1.2,0.000000000,0.000000000
1.3,0.000000000,0.000000000
1.4,0.000000000,0.000000000
1.5,0.000000000,0.000000000
1.6,0.000000000,0.000000000
1.7,0.000000000,0.000000000
1.8,0.000000000,0.000000000
1.9,0.000000000,0.000000000
2.0,0.000000000,0.000000000
2.1,0.080000000,0.000000000
2.2,0.160000000,0.000000000
2.3,0.240000000,0.000000000
2.4,0.320000000,0.000000000
2.5,0.400000000,0.000000000
2.6,0.480000000,0.000000000
2.7,0.560000000,0.000000000
2.8,0.640000000,0.000000000
2.9,0.720000000,0.000000000
3.0,0.800000000,0.000000000
3.1,0.880000000,0.000000000
3.2,0.960000000,0.000000000
3.3,1.040000000,0.000000000
3.4,1.120000000,0.000000000
3.5,1.200000000,0.000000000
3.6,1.280000000,0.000000000
3.7,1.360000000,0.000000000
3.8,1.440000000,0.000000000
3.9,1.520000000,0.000000000
4.0,1.600000000,0.000000000
4.1,1.680000000,0.000000000
4.2,1.760000000,0.000000000
4.3,1.840000000,0.000000000
4.4,1.920000000,0.000000000
4.5,2.000000000,0.000000000
4.6,2.080000000,0.000000000
4.7,2.160000000,0.000000000
4.8,2.240000000,0.000000000
4.9,2.320000000,0.000000000
5.0,2.400000000,0.000000000
5.1,2.480000000,0.000000000
5.2,2.560000000,0.000000000
5.3,2.640000000,0.000000000
5.4,2.720000000,0.000000000
5.5,2.800000000,0.000000000
5.6,2.880000000,0.000000000
5.7,2.960000000,0.000000000
5.8,3.040000000,0.000000000
5.9,3.120000000,0.000000000
6.0,3.200000000,0.000000000
6.1,3.200000000,0.004459051
6.2,3.200000000,0.009036474
