time_s,speed_mps,steering_rad
0.0,0.000000000,0.000000000
0.1,0.000000000,0.000000000
0.2,0.000000000,0.000000000
0.3,0.000000000,0.000000000
0.4,0.000000000,0.000000000
0.5,0.000000000,0.000000000
0.6,0.000000000,0.000000000
0.7,0.000000000,0.000000000
0.8,0.000000000,0.000000000
0.9,0.000000000,0.000000000
1.0,0.000000000,0.000000000
1.1,0.000000000,0.000000000
1.2,0.000000000,0.000000000
1.3,0.000000000,0.000000000
1.4,0.000000000,0.000000000
1.5,0.000000000,0.000000000
1.6,0.000000000,0.000000000
1.7,0.000000000,0.000000000
1.8,0.000000000,0.000000000
1.9,0.000000000,0.000000000
2.0,0.000000000,0.000000000
2.1,0.045833333,0.000000000
2.2,0.091666667,0.000000000
2.3,0.137500000,0.000000000
2.4,0.183333333,0.000000000
2.5,0.229166667,0.000000000
2.6,0.275000000,0.000000000
2.7,0.320833333,0.000000000
2.8,0.366666667,0.000000000
2.9,0.412500000,0.000000000
3.0,0.458333333,0.000000000
3.1,0.504166667,0.000000000
3.2,0.550000000,0.000000000
3.3,0.595833333,0.000000000
3.4,0.641666667,0.000000000
3.5,0.687500000,0.000000000
3.6,0.733333333,0.000000000
3.7,0.779166667,0.000000000
3.8,0.825000000,0.000000000
3.9,0.870833333,0.000000000
4.0,0.916666667,0.000000000
4.1,0.962500000,0.000000000
4.2,1.008333333,0.000000000
4.3,1.054166667,0.000000000
4.4,1.100000000,0.000000000
4.5,1.145833333,0.000000000
4.6,1.191666667,0.000000000
4.7,1.237500000,0.000000000
4.8,1.283333333,0.000000000
4.9,1.329166667,0.000000000
5.0,1.375000000,0.000000000
5.1,1.420833333,0.000000000
5.2,1.466666667,0.000000000
5.3,1.512500000,0.000000000
5.4,1.558333333,0.000000000
5.5,1.604166667,0.000000000
5.6,1.650000000,0.000000000
5.7,1.695833333,0.000000000
5.8,1.741666667,0.000000000
5.9,1.787500000,0.000000000
6.0,1.833333333,0.000000000
6.1,1.879166667,0.000000000
6.2,1.925000000,0.000000000
