profile_name,split,sample_index,nominal_time_s,anchor_time_s,anchor_relative_s,actual_dt_s,command_publish_time_s,commissioned_delay_ms,speed_command_mps,steering_command_rad,x_m,y_m,vx_world_mps,vy_world_mps,speed_longitudinal_mps,yaw_rad,yaw_unwrapped_rad,yaw_rate_radps
train_steering_sine,train,0,0.0,5714.2139000002,0.0,0.0,5714.209,4.900000200000001,0.0,0.0,-0.003953319766147881,2.263634368048595e-06,0.0002658703765368221,-1.1393792622362629e-05,0.0002658703517994915,2.171068477441196e-06,2.1710684775551193e-06,1.8907780013292462e-05
train_steering_sine,train,1,0.1,5714.3139000002,0.1000000000003638,0.1000000000003638,5714.309,4.900000200000001,0.0,0.0,-0.0040280030822487075,2.3071796428022437e-06,0.00026496006292559134,-1.2842419451524034e-05,0.0002649600357245835,2.118013169294386e-06,2.1180131693482247e-06,-2.494737129566164e-06
train_steering_sine,train,2,0.2,5714.4139000002,0.1999999999998181,0.0999999999994543,5714.409,4.900000200000001,0.0,0.0,-0.00410278060026395,2.3423837236800825e-06,0.00026401454419926684,-1.2652415706453824e-05,0.00026401451961585324,1.942942426058636e-06,1.942942426093035e-06,-2.4319463426732833e-07
train_steering_sine,train,3,0.30000000000000004,5714.5139000002,0.3000000000001819,0.1000000000003638,5714.509,4.900000200000001,0.0,0.0,-0.004177651256598705,2.376509519139554e-06,0.00026310001130455706,-1.2687831994677731e-05,0.0002630999877501499,1.856420687840199e-06,1.8564206880307835e-06,3.355215383279281e-07
train_steering_sine,train,4,0.4,5714.6139000002,0.4000000000005457,0.1000000000003638,5714.609,4.900000200000001,0.0,0.0,-0.004252610782563819,2.4094099040856402e-06,0.00026223799826967717,-1.2698424838380114e-05,0.000262237975187051,1.8177209581970999e-06,1.8177209580643705e-06,6.776269503982182e-07
train_steering_sine,train,5,0.5,5714.7139000002,0.5,0.0999999999994543,5714.709,4.900000200000001,0.0,0.0,-0.00432765374020877,2.4418909469181836e-06,0.0002614299939138021,-1.2701334765819321e-05,0.00026142997101532775,1.8028065476016764e-06,1.8028065477588772e-06,7.99589520294251e-07
train_steering_sine,train,6,0.6000000000000001,5714.8139000002,0.6000000000003638,0.1000000000003638,5714.809,4.900000200000001,0.0,0.0,-0.004402774939609704,2.4743601384702863e-06,0.0002606718262864121,-1.2701133500387913e-05,0.0002606718035116758,1.7930932898480023e-06,1.7930932900628012e-06,7.991573166040034e-07
train_steering_sine,train,7,0.7000000000000001,5714.9139000002,0.6999999999998181,0.0999999999994543,5714.909,4.900000200000001,0.0,0.0,-0.004477969578284854,2.506933142984443e-06,0.0002599601007608647,-1.2700088479652218e-05,0.00025996007814160847,1.7809989265593629e-06,1.7809989264377611e-06,7.647643715795906e-07
train_steering_sine,train,8,0.8,5715.0139000002,0.8000000000001819,0.1000000000003638,5715.009,4.900000200000001,0.0,0.0,-0.004553233159725455,2.539593226329687e-06,0.00025929197641296484,-1.2699301045033733e-05,0.00025929195399063473,1.7656031525703497e-06,1.7656031527565767e-06,7.379664641758018e-07
train_steering_sine,train,9,0.9,5715.1139000002,0.9000000000005457,0.1000000000003638,5715.109,4.900000200000001,0.0,0.0,-0.004628561461883812,2.572295464448317e-06,0.0002586647830359659,-1.2698584135047682e-05,0.0002586647608356964,1.748216495567334e-06,1.7482164955489378e-06,7.254519209294461e-07
train_steering_sine,train,10,1.0,5715.2139000002,1.0,0.0999999999994543,5715.209,4.900000200000001,0.0,0.0,-0.00470395052186205,2.6050078501331455e-06,0.0002580760058752534,-1.2698916844775918e-05,0.000258075983904212,1.7301204073838505e-06,1.7301204076010956e-06,7.232562710593226e-07
train_steering_sine,train,11,1.1,5715.3139000002,1.1000000000003638,0.1000000000003638,5715.309,4.900000200000001,0.0,0.0,-0.004779396619611273,2.6377178102430394e-06,0.00025752329512137716,-1.2698976085862525e-05,0.00025752327338007314,1.7120220139332787e-06,1.7120220138061746e-06,7.247144988752815e-07
train_steering_sine,train,12,1.2000000000000002,5715.4139000002,1.199999999999818,0.0999999999994543,5715.409,4.900000200000001,0.0,0.0,-0.0048548962623000255,2.6704234062989424e-06,0.00025700444723290514,-1.2699039214854015e-05,0.0002570044257190502,1.6941034517437004e-06,1.694103451700961e-06,7.264815577393e-07
train_steering_sine,train,13,1.3,5715.5139000002,1.300000000000182,0.1000000000003638,5715.509,4.900000200000001,0.0,0.0,-0.0049304461705276525,2.703134344645359e-06,0.0002565173903892077,-1.270082423660107e-05,0.00025651736909852437,1.6762945920234529e-06,1.676294592053293e-06,7.267692248859589e-07
train_steering_sine,train,14,1.4000000000000001,5715.6139000002,1.4000000000005457,0.1000000000003638,5715.609,4.900000200000001,0.0,0.0,-0.005006043265260698,2.7358304020029414e-06,0.00025606018586439116,-1.2699264572861219e-05,0.00025606016480064694,1.6586308508870218e-06,1.6586308510105933e-06,7.283386436808227e-07
train_steering_sine,train,15,1.5,5715.7139000002,1.5,0.0999999999994543,5715.709,4.900000200000001,0.0,0.0,-0.005081684810679101,2.768538452623564e-06,0.00025563110235580594,-1.2697421586817423e-05,0.00025563108151995597,1.6409241561099464e-06,1.6409241559289477e-06,7.248938024931273e-07
train_steering_sine,train,16,1.6,5715.8139000002,1.6000000000003638,0.1000000000003638,5715.809,4.900000200000001,0.0,0.0,-0.005157368037753075,2.8012424352465957e-06,0.00025522838000656075,-1.2695604331796226e-05,0.00025522835939851006,1.6232165052088021e-06,1.6232165050994048e-06,7.235946110888045e-07
train_steering_sine,train,17,1.7000000000000002,5715.9139000002,1.699999999999818,0.0999999999994543,5715.909,4.900000200000001,0.0,0.0,-0.005233090267365395,2.8339508285129867e-06,0.0002548503231715477,-1.2696488326128359e-05,0.00025485030278691836,1.6055070020115636e-06,1.6055070018485017e-06,7.243073758709824e-07
train_steering_sine,train,18,1.8,5716.0139000002,1.800000000000182,0.1000000000003638,5716.009,4.900000200000001,0.0,0.0,-0.005308849111599636,2.86666213853718e-06,0.0002544954236667482,-1.2697335839654442e-05,0.00025449540350581685,1.587782729739473e-06,1.5877827297919237e-06,7.247905801961387e-07
train_steering_sine,train,19,1.9000000000000001,5716.1139000002,1.9000000000005457,0.1000000000003638,5716.109,4.900000200000001,0.0,0.0,-0.005384642328483759,2.8993684830694883e-06,0.00025416226427257273,-1.270289836353098e-05,0.000254162244327792,1.5700721909261972e-06,1.5700721907709644e-06,7.322880319343162e-07
train_steering_sine,train,20,2.0,5716.2139000002,2.0,0.0999999999994543,5716.209,4.900000200000001,0.0,0.0,-0.005460467813233034,2.9320807891414998e-06,0.00025384951463526957,-1.2703934903452435e-05,0.000253849494913941,1.5523554610652468e-06,1.552355461055983e-06,7.333480147656617e-07
