epoch,train_loss,validation_loss
1,0.003730748674336991,0.0012662672339220854
2,0.0023693466702630374,0.001014550995748756
3,0.0011346267078773003,0.0009976688086296497
4,0.0005583872044220502,0.000622247803329419
5,0.00036701423632593406,0.0004889514382372195
6,0.00033757373556993816,0.0004454769316480423
7,0.00032727259830566953,0.00038698121049380435
8,0.0003217427266286003,0.000353747857644587
9,0.00031435762082162075,0.0003308345376175945
10,0.00030968342329220266,0.0003245991338069423
11,0.0003074101368773375,0.0003048852510247495
12,0.0003066360482339358,0.0002808386405640905
13,0.00029644939537543764,0.0002943599947736204
14,0.00029030679399114903,0.0002679982399505502
15,0.0002929629556728011,0.0002526830041739225
16,0.00028228828105703046,0.0002538368639477719
17,0.00027805429915298365,0.0002539395063139169
18,0.00026920650304237286,0.00023513576855247744
19,0.0002666771897847162,0.00022450458464926058
20,0.00025762490816800523,0.00022487211996403083
21,0.00025356780594082884,0.0002149880005078503
22,0.0002509934622649503,0.00021215528952318085
23,0.00024693195927717265,0.00019513123564694968
24,0.00023994495703177343,0.00019818387480399934
25,0.00023567417878225002,0.00019324863457025426
26,0.00023007469068694533,0.00017876460838597727
27,0.00022679169909467357,0.0001854488658448269
28,0.00022176950633558693,0.00017367455191974167
29,0.00021826909589622544,0.00016786499373946888
30,0.00021346163256493118,0.00017292514385476769
31,0.00021034038121885352,0.00015581761151285033
32,0.00020091046787795548,0.00015497768721923003
33,0.0002014091639615164,0.00017059890632587413
34,0.00019477382364909912,0.00014299412697665596
35,0.0001920187325289303,0.00014296789554421303
36,0.00018879379972028542,0.0001560908247185511
37,0.0001918064514246162,0.00013988613044307456
38,0.0001772762999447182,0.00013251697557569616
39,0.00017391505138032232,0.00014793255180652967
40,0.00017221661350850959,0.0001285423415317471
41,0.00016728220994004358,0.00012866229752821122
42,0.00016482447934030944,0.00012616116511452894
43,0.0001643486237112057,0.00012248715484787544
44,0.0001600124996921497,0.00012579096416166555
45,0.0001567394035807387,0.00011665446932357764
46,0.0001542941110790023,0.00011695824508738486
47,0.00014778830558272236,0.0001112112091953978
48,0.00014517995366258293,0.00011459681346130522
49,0.0001442551343474364,0.00011007869438110813
50,0.00014056241192510484,0.00010830342907191767
51,0.00013782863256452143,0.00010626819440355004
52,0.0001403820082191423,0.00010806175852665644
53,0.0001367970066133281,0.00010875469117469634
54,0.00013708449005756044,0.0001068856569252442
55,0.00012913304155858112,0.00010795652864815663
56,0.00012743515396708945,0.00010581633245831651
57,0.00012784009093401818,0.00010183438826821623
58,0.00012254547188894497,9.90438660765367e-05
59,0.00012077841898487105,0.00011600815731864932
60,0.00012102398841527957,0.00010804701194104465
61,0.00011749782444595759,0.00010674748080946703
62,0.00011529371991121431,9.466346937159373e-05
63,0.00011270259819504034,9.680983299685203e-05
64,0.00011143062527379778,9.394491417313974e-05
65,0.00011171064987411715,9.580212780451873e-05
66,0.00011080031799746293,9.35722799549235e-05
67,0.00010684624044333508,9.60421890000528e-05
68,0.00010481366208162913,9.912327421818179e-05
69,0.00010967714367441225,0.00010529005345514769
70,0.0001039874188125004,9.127847359866947e-05
71,0.00010179878364233757,0.00010259484826362757
72,0.00010419608786034961,9.072061382665926e-05
73,0.00010105086145297177,0.00010323941196331609
74,9.792944216671018e-05,9.797529115410278e-05
75,9.778123480004111e-05,0.00010512076197395891
76,9.765972159608343e-05,8.575643042971738e-05
77,9.49599403142459e-05,9.852417878842305e-05
78,9.92899524545287e-05,8.457590727383565e-05
79,9.381441417967577e-05,9.038392801198753e-05
80,9.417154415192677e-05,8.504208643431233e-05
81,9.203336938039963e-05,8.964610281018912e-05
82,9.322834305493545e-05,8.432643740488799e-05
83,9.0535407993652e-05,8.903510438344007e-05
84,8.958543507942067e-05,9.071426563426171e-05
85,9.224372630537964e-05,8.689944152539865e-05
86,9.187722754104479e-05,8.429239174136581e-05
87,8.796011849534772e-05,8.638148405589737e-05
88,8.782423863695519e-05,0.00010296950938819156
89,8.791833762987475e-05,7.821336243318408e-05
90,8.541077904200992e-05,8.317020877304504e-05
91,8.736525265306687e-05,8.711182235799159e-05
92,8.390260287180009e-05,8.845211091384418e-05
93,8.471720121528262e-05,8.245955049050186e-05
94,8.556837785236408e-05,8.164531353129183e-05
95,8.633206588717251e-05,7.387756638792367e-05
96,8.41330254542579e-05,0.00010241580485518093
97,8.769656536704271e-05,8.357197312053195e-05
98,8.717977954403487e-05,7.765858958330966e-05
99,8.304097268065707e-05,8.348580133232206e-05
100,8.252610983764965e-05,8.095830011204302e-05
101,8.136187018740028e-05,8.102056872332056e-05
102,8.144929445518379e-05,8.231988673913017e-05
103,8.231962118399564e-05,9.100280927727607e-05
104,8.38952656087112e-05,7.495733080064922e-05
105,7.911838776748201e-05,8.004597011103292e-05
106,8.939741233761457e-05,8.446398228773228e-05
107,9.625902003220395e-05,0.00010161596829798915
108,8.697474756758991e-05,8.568050176763102e-05
109,8.151183014873267e-05,7.679461882007356e-05
110,8.525646710320591e-05,8.045593282616264e-05
111,7.905479162774833e-05,7.666606562374751e-05
112,7.78265622025082e-05,7.92430016250588e-05
113,7.72710530209152e-05,8.042762435513456e-05
114,7.748382926037404e-05,7.357063545509057e-05
115,7.673255987018523e-05,7.893552367470069e-05
116,7.981372936034038e-05,7.332481877782687e-05
117,7.855643141525816e-05,7.178448464825922e-05
118,7.704526245104444e-05,8.280661078671914e-05
119,7.766075051228563e-05,7.627706640623125e-05
