elapsed_s,publish_time_s,odometry_time_s,commissioned_delay_ms,delay_prediction_steps,delay_prediction_model,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,predicted_start_x_m,predicted_start_y_m,predicted_start_yaw_rad,predicted_start_speed_mps,projected_start_speed_mps,predicted_start_yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_speed_command_mps,next_steering_command_rad,first_delta_speed_mps,first_delta_yaw_rad,desired_next_speed_mps,desired_next_yaw_rad,raw_steering_command_rad,steering_command_saturated,solver_success,solver_status,solver_iterations,solver_time_s,mpc_total_compute_s,cycle_compute_s,deadline_met,constraint_violation,objective,warm_start_source,fallback_reason
0.0,14.931000000000001,14.921,4.4833333,1,learned_h2,0.11666004633762517,-2.0033734891188115,-0.0019445863571651543,0.0002212053289178906,-1.7556518884543082e-06,0.11654149445567269,-2.0033732581898835,-0.0019510379041780819,-0.0026563232763899564,0.0,-0.00012676673454091157,-0.011062681024997481,7.95381701802647e-06,0.00011508471840954398,0.5,0.0,0.0,0.23938948764971243,-2.3850391028437954e-48,0.23938948764971243,-1.8135590124906557e-48,0.23938948764971243,-0.0019510379041780819,-2.3850391028437954e-48,False,True,Solve_Succeeded,8,0.014348094002343714,0.016939969005761668,0.017416920003597625,True,1.4525056504788303e-14,0.2951149164474767,shifted_warm_start,
0.1,15.031,15.023,4.4833333,1,learned_h2,0.11657935410828413,-2.0033732978737664,-0.0019446848455952472,0.00022112123878745212,5.298604541933276e-07,0.11722655639110531,-2.003374570246163,-0.001987414609122781,0.01266774282945942,0.01266774282945942,-0.0008552574194979155,-0.011143375411568832,7.978828303332355e-06,0.00011582946874892792,0.5,0.23938948764971243,-2.3850391028437954e-48,0.24592699505341936,1.039731206553487e-05,0.23325925222395993,7.9060083248302e-06,0.24592699505341936,-0.001979508600797951,1.039731206553487e-05,False,True,Solve_Succeeded,6,0.012540390001959167,0.016895199994905852,0.017315329001576174,True,5.524072952539649e-12,0.2808578271683741,shifted_warm_start,
0.2,15.131,15.125,4.4833333,1,learned_h2,0.11707606998042197,-2.003374226589924,-0.0019446494426090919,0.013118998960924702,2.16263456891089e-06,0.11918180319982305,-2.003378347883041,-0.0019714747227257143,0.026245129314867194,0.026245129314867194,-0.0005391216692812015,-0.010646646423646136,8.072314677454002e-06,0.00011067600894408863,0.5,0.24592699505341936,1.039731206553487e-05,0.2529645998711816,2.17998376441179e-05,0.22671947055631436,1.6576370585783382e-05,0.2529645998711816,-0.001954898352139931,2.17998376441179e-05,False,True,Solve_Succeeded,6,0.013234094993094914,0.016117562998260837,0.016586824996920768,True,5.41483741525739e-12,0.2658062590059309,shifted_warm_start,
0.3,15.231,15.227,4.4833333,1,learned_h2,0.1190434742764731,-2.0033780179721083,-0.0019446760666617035,0.027446023151616854,-1.0351279214057e-06,0.12258697112872607,-2.0033849174615335,-0.0019498180128986976,0.038767372989157056,0.038767372989157056,-0.00010162817011516823,-0.00867918159951176,8.304407739837537e-06,9.014045600830973e-05,0.54166666667,0.2529645998711816,2.17998376441179e-05,0.2794714535625931,3.4793630937679364e-05,0.24070408057343606,2.6456716323461795e-05,0.2794714535625931,-0.001923361296575236,3.4793630937679364e-05,False,True,Solve_Succeeded,6,0.011888975001056679,0.014361626002937555,0.014897064000251703,True,1.7763568394002505e-15,0.2996551795108497,shifted_warm_start,
0.4,15.331,15.329,4.4833333,1,learned_h2,0.12246571345943524,-2.0033846400309754,-0.001944967330594914,0.04158035712136215,-2.0897503079021936e-06,0.127506295553814,-2.003394463043457,-0.001953015281291662,0.05383988991648386,0.05383988991648386,-0.000158598292671863,-0.005256803509557782,8.585164888642667e-06,5.4339106825053614e-05,0.7222222222266667,0.2794714535625931,3.4793630937679364e-05,0.374131173311792,6.110885255626082e-05,0.32029128339530816,4.6466538080750175e-05,0.374131173311792,-0.001906548743210912,6.110885255626082e-05,False,True,Solve_Succeeded,5,0.009298281998781022,0.011780487999203615,0.012202861995319836,True,1.3466561199493299e-11,0.5279827941308675,shifted_warm_start,
0.5,15.431,15.431,4.4833333,1,learned_h2,0.12736817333475647,-2.003394141783244,-0.0019452026809870695,0.05652994311782692,-2.5357671305824486e-07,0.13415023242660382,-2.003407397674712,-0.001964622170527133,0.07404264628393341,0.07404264628393341,-0.00038811347670977744,-0.0003540633259288644,8.760969696347166e-06,3.5987206313912046e-06,0.9027777777833333,0.374131173311792,6.110885255626082e-05,0.4716190209816163,9.865948879134296e-05,0.39757637469768287,7.501965265555618e-05,0.4716190209816163,-0.0018896025178715766,9.865948879134296e-05,False,True,Solve_Succeeded,5,0.0099641690030694,0.012321116002567578,0.012692861004325096,True,3.652633751016765e-12,0.8097905737073391,shifted_warm_start,
0.6,15.531,15.499,4.4833333,1,learned_h2,0.13158832358795414,-2.0034023281621156,-0.0019452393963976427,0.06978179083674899,3.245334619388866e-06,0.1422519814002339,-2.003423162648826,-0.001967837715017953,0.09257432580449297,0.09257432580449297,-0.00045757971951737396,0.00386612897762306,8.707623059517226e-06,-3.963896483468333e-05,1.08333333334,0.4716190209816163,9.865948879134296e-05,0.5683881055626824,0.00013643733932967614,0.4758137797581894,0.00010374553863144167,0.5683881055626824,-0.0018640921763865112,0.00013643733932967614,False,True,Solve_Succeeded,5,0.0088256610033568,0.012017968998407014,0.012368391995551065,True,1.951327988081175e-12,1.1542905486854795,shifted_warm_start,
0.7,15.631,15.600999999999999,4.4833333,1,learned_h2,0.1397273389966932,-2.003418124602684,-0.001944972351656924,0.093034950355018,7.2101372438556595e-06,0.15361182965728282,-2.0034452394201057,-0.001965870624111134,0.12049228834741879,0.12049228834741879,-0.0004301481776424267,0.01200517007153773,8.083238815641254e-06,-0.00012225268910849075,1.2638888888966666,0.5683881055626824,0.00013643733932967614,0.670104527367624,0.00018870788712859883,0.5496122390202053,0.00014349152138515436,0.670104527367624,-0.0018223791027259797,0.00018870788712859883,False,True,Solve_Succeeded,5,0.009765146001882385,0.012401619998854585,0.012908076001622248,True,1.1741718708435656e-12,1.5336787905483893,shifted_warm_start,
0.8,15.731,15.703,4.4833333,1,learned_h2,0.15049406568860835,-2.0034390259160846,-0.0019442375949948513,0.12119836854229392,1.0497451776721186e-05,0.16816602472593492,-2.0034735074294407,-0.001962584168984204,0.15350294499369344,0.15350294499369344,-0.00038424877606105414,0.022771913789338585,6.220299811147322e-06,-0.00023027301447487358,1.4444444444533333,0.670104527367624,0.00018870788712859883,0.7744391794773471,0.00024710731138067514,0.6209362344836536,0.00018789783826706036,0.7744391794773471,-0.0017746863307171437,0.00024710731138067514,False,True,Solve_Succeeded,5,0.0084370110052987,0.010932942997897044,0.01126219399884576,True,6.856737400084967e-13,1.9507775723479273,shifted_warm_start,
0.9,15.831,15.805,4.4833333,1,learned_h2,0.16437918408025154,-2.003465977707602,-0.001942904309337896,0.15415984432978294,1.791722289851415e-05,0.1863354301499857,-2.0035087603506327,-0.001957935908913676,0.1909797923798676,0.1909797923798676,-0.0003294727479626338,0.03665704438676523,2.101821039770897e-06,-0.00036770222193031714,1.62500000001,0.7744391794773471,0.00024710731138067514,0.8810089131403683,0.0003079603190139899,0.6900291207605007,0.00023416983452027588,0.8810089131403683,-0.0017237660743934004,0.0003079603190139899,False,True,Solve_Succeeded,5,0.008478586001729127,0.01088760100537911,0.011183634996996261,True,3.6770586575585185e-13,2.4027002136852977,shifted_warm_start,
